AVMT,Road_Name,FREQUENCY,COUNT_crashreport_corrected_XYTableToPoint_Person_ID
0.1739,CENTRAL AVE,2,2
0.1739,E DEER PARK DR,4,4
0.1739,GROVE ST,3,3
0.1739,RAILROAD ST,4,4
0.1766,DEBORAH DR,1,1
0.1792,CONNECTICUT AVE,2,2
0.18,,1,1
0.18,FREDERICK AVE,1,1
0.18,HUNGERFORD DR,2,2
0.1803,CONNECTICUT AVE,2,2
0.1805,OLD HUNDRED RD,5,5
0.1853,FALLS RD,1,1
0.1882,CAPITAL BELTWAY,1,1
0.1882,GEORGIA AVE,4,4
0.1882,RAMP 3 FR IS 495 EB TO MD 97 NB,1,1
0.1891,BRADLEY BLVD,4,4
0.1891,LELAND ST,3,3
0.1953,COLUMBIA BLVD,4,4
0.1953,GEORGIA AVE,7,7
0.2066,NEWCASACURAE AVE,1,1
0.2106,W MONTGOMERY AVE,2,2
0.2117,RAMP 4 FR US 29 NB TO CHERRY HILL RD EB,2,2
0.2153,EISENHOWER MEMORIAL HWY,2,2
0.2163,DEMOCRACY BLVD,4,4
0.2199,ANDERSON AVE,2,2
0.2201,RAMP 4 FR RAMP 1 TO SHADY GROVE RD,2,2
0.2214,HARDY AVE,2,2
0.2214,JUDSON RD,2,2
0.2214,PARKER AVE,1,1
0.2214,RANDOLPH RD,1,1
0.2237,CONNECTICUT AVE,5,5
0.2301,RAMP FROM I495,2,2
0.2313,LAYHILL RD,2,2
0.232,NO NAME,2,2
0.232,WESACURAAKE TERR,2,2
0.2363,,1,1
0.2363,RIDGE RD,1,1
0.2379,SHADY GROVE RD,4,4
0.2425,CHERRY AVE,1,1
0.2425,FLOWER AVE,7,7
0.2425,JACKSON AVE,1,1
0.2438,SNOWDEN FARM PKENWORTHY,8,8
0.2438,SNOWDEN FARM PKENWORTHY (PROP),2,2
0.2508,CAPITAL BELTWAY,8,8
0.2508,CONNECTICUT AVE,4,4
0.2508,RAMP 6 FR RAMP 3 (FR IS495) TO MD 185 SB,2,2
0.2573,GLEN MILL RD,3,3
